place,faculty,group,city,country,start_date,end_date,who,type
Universitat Autònoma de Barcelona,Institute of Biotechnology and Biomedicine,Protein Folding and Conformational Diseases,Barcelona,Spain,16.01.2023,23.01.2023,jarek,
Universitat Autònoma de Barcelona,Institute of Biotechnology and Biomedicine,Protein Folding and Conformational Diseases,Barcelona,Spain,13.05.2023,27.05.2023,jarek,Erasmus+
Universitat Autònoma de Barcelona,Institute of Biotechnology and Biomedicine,Protein Folding and Conformational Diseases,Barcelona,Spain,15.01.2024,23.01.2024,jarek,IDUB11
Vilnius University,Institute of Biotechnology,Group of Amyloid Research,Vilnius,Lithuania,05.12.2022,24.12.2022,jarek,
Vilnius University,Institute of Biotechnology,Group of Amyloid Research,Vilnius,Lithuania,02.11.2018,09.11.2018,jarek,
Vilnius University,Institute of Biotechnology,Group of Amyloid Research,Vilnius,Lithuania,07.01.2018,26.01.2018,jarek,KNOW
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Image Based Assays,Senftenberg,Germany,01.04.2018,30.09.2018,jarek,KNOW
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,04.02.2019,15.02.2019,jarek,
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,15.04.2019,31.05.2019,jarek,POWR
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,01.07.2019,16.12.2019,jarek,Erasmus+
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,01.03.2020,29.05.2020,jarek,
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,01.10.2020,30.09.2021,jarek,DAAD
Brandenburg University of Technology Cottbus-Senftenberg,Institute of Biotechnology,Multiparameter Diagnostic,Senftenberg,Germany,01.11.2021,26.12.2021,jarek,
Warsaw University of Technology,Faculty of Mathematics and Information Science,MI2 DataLab,Warsaw,Poland,01.07.2019,15.07.2019,jarek,
